0,Male Height in Cm,Female Height in Cm
1,183.78,170.36
2,183.30,169.96
3,182.79,168.66
4,182.47,167.47
5,182.10,168.91
6,181.89,169.47
7,181.19,167.96
8,181.17,168.81
9,181.02,167.12
10,180.98,167.20
11,180.98,166.62
12,180.76,166.80
13,180.74,168.29
14,180.72,167.63
15,180.69,165.78
16,180.57,166.48
17,180.48,166.45
18,180.46,166.67
19,180.28,166.18
20,180.15,166.89
21,179.72,166.11
22,179.48,163.06
23,179.26,165.81
24,179.09,163.40
25,179.04,164.50
26,178.96,163.67
27,178.84,165.53
28,178.84,165.72
29,178.77,164.67
30,178.75,164.73
31,178.73,164.33
32,178.70,165.99
33,178.69,166.93
34,178.60,164.49
35,178.52,166.93
36,178.46,165.07
37,178.32,167.31
38,178.32,166.52
39,178.21,163.94
40,177.82,164.73
41,177.72,164.66
42,177.49,165.30
43,177.19,167.03
44,177.09,167.55
45,177.03,165.66
46,176.97,164.32
47,176.94,163.31
48,176.85,161.69
49,176.65,164.52
50,176.59,162.55
51,176.43,165.52
52,176.43,160.88
53,176.39,162.56
54,176.36,161.80
55,176.35,161.18
56,176.18,163.92
57,176.11,162.03
58,176.06,166.08
59,176.03,163.38
60,175.98,162.22
61,175.98,163.24
62,175.90,162.47
63,175.73,162.41
64,175.66,163.46
65,175.62,161.18
66,175.59,162.96
67,175.52,163.23
68,175.50,161.74
69,175.11,166.08
70,175.05,161.28
71,175.04,162.35
72,175.02,161.99
73,174.96,160.10
74,174.84,159.46
75,174.83,160.62
76,174.76,161.22
77,174.69,161.22
78,174.65,161.21
79,174.57,160.88
80,174.51,162.26
81,174.42,161.81
82,174.42,163.82
83,174.40,163.46
84,174.38,162.95
85,174.37,162.83
86,174.37,161.23
87,174.32,161.56
88,174.17,164.58
89,174.08,160.53
90,174.07,162.23
91,174.04,160.36
92,174.00,161.37
93,173.98,164.28
94,173.84,161.40
95,173.81,159.76
96,173.79,158.75
97,173.71,162.78
98,173.67,159.85
99,173.56,160.13
100,173.53,160.04
101,173.53,160.70
102,173.50,161.30
103,173.27,160.72
104,173.16,162.06
105,173.01,158.94
106,172.88,159.42
107,172.76,158.29
108,172.75,160.55
109,172.23,160.58
110,172.15,159.57
